year,month,crime_month,total_crime,avg_temp,avg_dewp,avg_slp,avg_visib,avg_wdsp,avg_mxpsd,avg_gust,avg_max_temp,avg_min_temp,avg_prcp,avg_sndp,fog_days,month_factor
2014,1,2014-01-01,55515,44.59354838709677,40.44838709677419,NA,5.974193548387097,9.367741935483872,16.23225806451613,466.0967741935484,50.074193548387086,38.55161290322581,0.1880645161290322,NA,5,Jan
2014,2,2014-02-01,51222,45.41785714285714,38.94642857142857,NA,6.542857142857144,12.246428571428572,20.125,308.4607142857143,51.110714285714295,39.592857142857135,0.1446428571428571,NA,1,Feb
2014,3,2014-03-01,57669,48.1225806451613,39.5,NA,37.70967741935483,7.651612903225806,13.958064516129031,716.6064516129032,57.52258064516128,39.906451612903226,0.0409677419354838,NA,7,Mar
2014,4,2014-04-01,53467,52.87,43.993333333333325,NA,5.8133333333333335,7.263333333333333,12.493333333333334,804.8166666666666,61.07333333333333,44.89666666666666,0.074,NA,4,Apr
2014,5,2014-05-01,56327,56.64516129032258,46.7483870967742,NA,38.38709677419355,7.832258064516128,13.135483870967745,591.4870967741936,64.39032258064516,48.816129032258075,0.1119354838709677,NA,0,May
2014,6,2014-06-01,57039,62.91333333333333,50.29,NA,106.07333333333334,6.29,11.596666666666666,674.4000000000001,71.98333333333333,53.97,0.0533333333333333,NA,1,Jun
2014,7,2014-07-01,58564,67.72580645161291,55.20967741935484,9709.983870967742,70.88387096774193,6.661290322580646,12.241935483870968,684.3935483870968,78.03870967741936,58.63548387096774,0.0638709677419354,NA,0,Jul
2014,8,2014-08-01,55641,61.92903225806452,52.00322580645161,NA,6.829032258064516,8.387096774193548,14.322580645161292,685.4645161290323,71.08709677419354,53.81612903225806,0.112258064516129,NA,1,Aug
2014,9,2014-09-01,56933,61.946666666666665,54.09,NA,5.073333333333332,5.140000000000001,9.1,934.4433333333332,70.68333333333332,54.13,0.014,NA,2,Sep
2014,10,2014-10-01,60537,56.88709677419354,51.380645161290325,NA,6.035483870967742,8.006451612903227,13.767741935483873,558.9419354838709,63.55483870967742,50.56774193548387,0.0974193548387096,NA,4,Oct
2014,11,2014-11-01,59704,49.38666666666667,45.8,NA,5.01,6.370000000000001,11.086666666666666,837.1233333333333,54.633333333333326,43.32333333333333,0.1679999999999999,NA,6,Nov
2014,12,2014-12-01,57565,43.15806451612902,38.37741935483872,NA,6.312903225806452,9.183870967741935,15.251612903225809,591.9806451612905,49.23225806451613,36.832258064516125,0.0483870967741935,NA,2,Dec
2015,1,2015-01-01,57055,41.92903225806453,36.84516129032258,NA,6.096774193548387,9.56774193548387,16.170967741935485,529.9096774193548,47.86451612903226,34.30967741935484,0.0770967741935483,NA,2,Jan
2015,2,2015-02-01,53316,40.80714285714285,35.192857142857136,NA,6.078571428571427,7.139285714285713,12.028571428571428,651.8678571428572,46.375,34.364285714285714,0.0571428571428571,NA,2,Feb
2015,3,2015-03-01,60096,45.7258064516129,36.906451612903226,NA,38.0225806451613,8.925806451612903,14.919354838709678,687.5806451612904,52.92903225806452,38.68064516129033,0.0329032258064516,NA,0,Mar
2015,4,2015-04-01,56445,51.18666666666667,39.93333333333334,NA,105.82999999999998,7.47,13.03,772.3966666666665,61.38,42.036666666666655,0.021,NA,2,Apr
2015,5,2015-05-01,61038,55.03548387096775,43.65161290322581,NA,6.8032258064516125,9.638709677419351,15.63225806451613,592.0064516129033,63.6032258064516,46.648387096774194,0.0335483870967741,NA,0,May
2015,6,2015-06-01,60760,61.563333333333325,47.65333333333333,NA,40.36,8.436666666666667,13.716666666666669,609.07,71.88666666666668,51.9,0.0166666666666666,NA,0,Jun
2015,7,2015-07-01,61606,64.94516129032259,51.9483870967742,NA,70.9548387096774,8.893548387096773,14.919354838709678,527.3967741935484,74.55483870967743,56.44516129032258,0.0912903225806451,NA,0,Jul
2015,8,2015-08-01,58056,64.10322580645162,54.30967741935484,NA,38.6258064516129,7.245161290322579,12.438709677419356,589.7290322580645,72,56.62903225806452,0.13451612903225801,NA,2,Aug
2015,9,2015-09-01,57564,57.023333333333326,48.94,NA,6.586666666666666,6.65,11.68,902.7066666666666,65.55,49.22333333333333,0.0806666666666666,NA,1,Sep
2015,10,2015-10-01,62361,53.80645161290323,48.16129032258064,NA,5.780645161290321,6.025806451612903,10.145161290322582,873.3354838709677,60.58387096774193,47.40967741935484,0.0509677419354838,NA,3,Oct
2015,11,2015-11-01,62487,51.49666666666667,46.723333333333336,NA,5.653333333333332,10.496666666666666,17.336666666666666,418.78,56.25333333333334,46.35,0.0616666666666666,NA,3,Nov
2015,12,2015-12-01,60840,52.63,47.09,NA,6.096666666666667,11.806666666666668,18.476666666666667,319.97,56.63999999999999,47.66666666666666,0.0416666666666666,NA,0,Dec
2016,1,2016-01-01,58847,43.59032258064517,38.92903225806452,NA,6,9.403225806451612,15.403225806451614,434.4387096774193,48.81935483870968,37.40645161290322,6.545483870967743,NA,3,Jan
2016,2,2016-02-01,56697,42.99655172413793,35.37586206896552,9690.448275862069,6.3517241379310345,9.641379310344826,16.38965517241379,531.7724137931035,48.61034482758621,36.63793103448276,6.961724137931034,NA,0,Feb
2016,3,2016-03-01,59167,44.27096774193548,36.28709677419356,NA,5.7064516129032254,7.9645161290322575,14.267741935483873,593.5870967741935,50.99032258064516,37.79032258064516,12.996451612903224,NA,5,Mar
2016,4,2016-04-01,58637,47.896666666666654,37.806666666666665,NA,6.446666666666667,7.643333333333333,13.243333333333334,642.34,55.66666666666666,39.80333333333334,3.398333333333333,NA,2,Apr
2016,5,2016-05-01,63990,57.074193548387086,46.40322580645161,NA,6.2064516129032254,7.219354838709677,12.370967741935484,653.3838709677419,65.35806451612902,48.854838709677416,16.203870967741935,NA,2,May
2016,6,2016-06-01,62262,61.056666666666665,54.103333333333325,NA,6.246666666666667,6.906666666666665,11.826666666666666,739.6533333333333,68.28333333333333,54.49,3.4610000000000003,NA,0,Jun
2016,7,2016-07-01,65519,65.70645161290324,54.84193548387097,NA,6.77741935483871,8.04516129032258,12.829032258064515,558.983870967742,74.1,57.3741935483871,19.37354838709677,NA,0,Jul
2016,8,2016-08-01,62666,66.37096774193549,54.877419354838715,NA,6.529032258064516,8.009677419354839,13.122580645161293,716.6096774193549,75.64838709677417,57.86129032258064,19.381290322580643,NA,2,Aug
2016,9,2016-09-01,61412,63.46333333333334,55.60333333333334,NA,6.366666666666667,7.32,12.386666666666668,511.60666666666674,71.40333333333334,54.806666666666665,16.717666666666666,NA,3,Sep
2016,10,2016-10-01,63405,52.91612903225807,46.9258064516129,NA,5.787096774193548,5.80967741935484,10.545161290322582,811.2806451612904,60.02903225806451,46.71290322580645,32.28709677419355,NA,8,Oct
2016,11,2016-11-01,61064,44.57931034482758,40.189655172413794,NA,5.855172413793103,7.024137931034482,12.379310344827584,631.0724137931034,50.65862068965518,38.389655172413804,7.012068965517241,NA,3,Nov
2016,12,2016-12-01,62455,44.3741935483871,42.02258064516129,NA,4.4645161290322575,5.867741935483871,10.483870967741936,747.8,50.05483870967742,38.05483870967742,19.36709677419355,NA,12,Dec
