year,month,avg_temp,avg_dewp,avg_slp,avg_visib,avg_wdsp,avg_mxpsd,avg_gust,avg_max_temp,avg_min_temp,avg_prcp,avg_sndp,fog_days
2014,1,44.593548387096774,40.448387096774191,9999.9,5.9741935483870972,9.3677419354838722,16.232258064516131,466.09677419354841,50.074193548387093,38.551612903225809,0.18806451612903227,999.9,5
2014,2,45.417857142857144,38.946428571428569,9999.9,6.5428571428571427,12.246428571428572,20.125,308.46071428571429,51.110714285714295,39.592857142857142,0.14464285714285716,999.9,1
2014,3,48.1225806451613,39.5,9999.9,37.709677419354833,7.6516129032258062,13.958064516129031,716.60645161290324,57.522580645161284,39.906451612903226,0.040967741935483873,999.9,7
2014,4,52.87,43.993333333333325,9999.9,5.8133333333333335,7.2633333333333336,12.493333333333334,804.81666666666661,61.073333333333331,44.896666666666668,0.07400000000000001,999.9,4
2014,5,56.645161290322577,46.748387096774195,9999.9,38.387096774193552,7.8322580645161288,13.135483870967743,591.48709677419356,64.390322580645162,48.816129032258068,0.11193548387096774,999.9,0
2014,6,62.913333333333327,50.29,9999.9,106.07333333333334,6.29,11.596666666666666,674.40000000000009,71.983333333333334,53.97,0.053333333333333337,999.9,1
2014,7,67.725806451612911,55.20967741935484,9709.9838709677424,70.883870967741927,6.6612903225806459,12.241935483870968,684.39354838709676,78.038709677419362,58.63548387096774,0.063870967741935486,999.9,0
2014,8,61.929032258064517,52.00322580645161,9999.9,6.8290322580645162,8.387096774193548,14.322580645161292,685.46451612903229,71.08709677419354,53.816129032258061,0.11225806451612902,999.9,1
2014,9,61.946666666666665,54.089999999999996,9999.9,5.0733333333333333,5.1400000000000006,9.1,934.44333333333327,70.683333333333323,54.129999999999995,0.014,999.9,2
2014,10,56.887096774193544,51.380645161290325,9999.9,6.0354838709677416,8.006451612903227,13.767741935483871,558.94193548387091,63.554838709677419,50.567741935483873,0.097419354838709671,999.9,4
2014,11,49.38666666666667,45.8,9999.9,5.01,6.370000000000001,11.086666666666666,837.12333333333333,54.633333333333326,43.323333333333331,0.16799999999999998,999.9,6
2014,12,43.158064516129024,38.377419354838715,9999.9,6.3129032258064521,9.1838709677419352,15.251612903225807,591.98064516129034,49.232258064516124,36.832258064516132,0.048387096774193547,999.9,2
2015,1,41.929032258064524,36.845161290322579,9999.9,6.096774193548387,9.56774193548387,16.170967741935485,529.90967741935481,47.86451612903226,34.309677419354841,0.077096774193548379,999.9,2
2015,2,40.80714285714285,35.192857142857136,9999.9,6.0785714285714274,7.1392857142857142,12.028571428571428,651.86785714285725,46.375,34.364285714285714,0.057142857142857148,999.9,2
2015,3,45.725806451612904,36.906451612903226,9999.9,38.0225806451613,8.9258064516129032,14.919354838709678,687.58064516129036,52.929032258064517,38.680645161290329,0.032903225806451615,999.9,0
2015,4,51.186666666666667,39.933333333333337,9999.9,105.82999999999998,7.47,13.03,772.39666666666665,61.38,42.036666666666662,0.021,999.9,2
2015,5,55.035483870967745,43.651612903225811,9999.9,6.8032258064516125,9.6387096774193548,15.63225806451613,592.00645161290333,63.603225806451604,46.648387096774194,0.033548387096774192,999.9,0
2015,6,61.563333333333333,47.653333333333329,9999.9,40.36,8.4366666666666674,13.716666666666667,609.07,71.886666666666684,51.9,0.016666666666666666,999.9,0
2015,7,64.945161290322588,51.9483870967742,9999.9,70.9548387096774,8.8935483870967733,14.919354838709678,527.39677419354837,74.554838709677426,56.445161290322588,0.091290322580645164,999.9,0
2015,8,64.103225806451618,54.309677419354841,9999.9,38.6258064516129,7.2451612903225806,12.438709677419356,589.72903225806454,72.0,56.62903225806452,0.13451612903225807,999.9,2
2015,9,57.023333333333333,48.94,9999.9,6.586666666666666,6.65,11.68,902.70666666666659,65.55,49.223333333333329,0.080666666666666664,999.9,1
2015,10,53.806451612903231,48.161290322580641,9999.9,5.7806451612903222,6.0258064516129028,10.145161290322582,873.33548387096766,60.58387096774193,47.409677419354836,0.050967741935483868,999.9,3
2015,11,51.49666666666667,46.723333333333336,9999.9,5.6533333333333333,10.496666666666666,17.336666666666666,418.78,56.253333333333337,46.349999999999994,0.061666666666666661,999.9,3
2015,12,52.63,47.09,9999.9,6.0966666666666667,11.806666666666667,18.476666666666667,319.96999999999997,56.639999999999993,47.666666666666664,0.041666666666666671,999.9,0
2016,1,43.590322580645164,38.929032258064517,9999.9,6.0,9.4032258064516121,15.403225806451614,434.4387096774193,48.819354838709678,37.406451612903219,6.5454838709677432,999.9,3
2016,2,42.99655172413793,35.375862068965517,9690.4482758620688,6.3517241379310345,9.641379310344826,16.389655172413789,531.77241379310351,48.610344827586211,36.637931034482762,6.961724137931034,999.9,0
2016,3,44.270967741935479,36.287096774193557,9999.9,5.7064516129032254,7.9645161290322584,14.267741935483871,593.58709677419347,50.990322580645156,37.79032258064516,12.996451612903224,999.9,5
2016,4,47.896666666666661,37.806666666666665,9999.9,6.4466666666666672,7.6433333333333335,13.243333333333334,642.34,55.666666666666664,39.803333333333342,3.3983333333333334,999.9,2
2016,5,57.074193548387093,46.403225806451609,9999.9,6.2064516129032254,7.2193548387096778,12.370967741935484,653.38387096774193,65.358064516129019,48.854838709677416,16.203870967741935,999.9,2
2016,6,61.056666666666665,54.103333333333332,9999.9,6.246666666666667,6.9066666666666663,11.826666666666666,739.65333333333331,68.283333333333331,54.489999999999995,3.4610000000000003,999.9,0
2016,7,65.706451612903237,54.841935483870969,9999.9,6.77741935483871,8.04516129032258,12.829032258064517,558.983870967742,74.1,57.3741935483871,19.373548387096772,999.9,0
2016,8,66.370967741935488,54.877419354838707,9999.9,6.5290322580645164,8.0096774193548388,13.122580645161291,716.60967741935485,75.648387096774186,57.861290322580643,19.381290322580643,999.9,2
2016,9,63.463333333333338,55.603333333333339,9999.9,6.3666666666666671,7.32,12.386666666666667,511.60666666666674,71.403333333333336,54.806666666666665,16.717666666666666,999.9,3
2016,10,52.91612903225807,46.9258064516129,9999.9,5.7870967741935484,5.8096774193548395,10.545161290322582,811.28064516129029,60.029032258064511,46.71290322580645,32.28709677419355,999.9,8
2016,11,44.579310344827583,40.189655172413794,9999.9,5.8551724137931025,7.0241379310344829,12.379310344827585,631.07241379310335,50.65862068965518,38.389655172413796,7.0120689655172406,999.9,3
2016,12,44.3741935483871,42.022580645161291,9999.9,4.4645161290322575,5.8677419354838705,10.483870967741936,747.8,50.054838709677419,38.054838709677419,19.367096774193548,999.9,12